date,consumption,housing_wealth,financial_assets,income
2009-01-01,1314874.08618552,26260934.89,2433442.25,1470215.189036
2009-04-01,1315670.0687984,26138309.85,2473142.39,1592683.792242
2009-07-01,1318605.69407764,26317265.39,2576393.26,1485458.009694
2009-10-01,1326607.0730858,26446706.7,2564141.07,1565082.166687
2010-01-01,1334493.25727805,26415270.89,2587176.63,1481387.70195
2010-04-01,1345638.34035926,26735362.76,2534212.41,1605988.665207
2010-07-01,1354982.81633146,26940877.06,2596377.49,1509838.174358
2010-10-01,1367936.52949228,27068108.81,2636810.52,1586683.121201
2011-01-01,1376569.30108961,27008039.29,2674214.59,1510199.631989
2011-04-01,1382259.008363,27243449.89,2672294.08,1652424.216296
2011-07-01,1385292.2290238,27393142.21,2559674.31,1531222.307647
2011-10-01,1386979.01319568,27135126.57,2568321.65,1609059.726585
2012-01-01,1393495.22991769,26934760.2,2677186.04,1529142.417875
2012-04-01,1391412.37409232,26898058.95,2652077.55,1644265.661757
2012-07-01,1392671.4971159,26802433.67,2688184.12,1533799.058967
2012-10-01,1392931.41898323,26672268.17,2776665.77,1590883.061311
2013-01-01,1391783.67564587,26336836.21,2846517.18,1523702.938225
2013-04-01,1396628.21829191,26427233.46,2829973.94,1637470.364457
2013-07-01,1403918.95865911,26627633.67,2935801.92,1549508.831288
2013-10-01,1407604.07332688,26535867.43,3056443.64,1619932.687764
2014-01-01,1410732.68513703,26519938.42,3208322.31,1544635.431079
2014-04-01,1415939.73423007,26755990.41,3246761.3,1651122.853529
2014-07-01,1423592.51138193,26922954.92,3236432.65,1580682.700293
2014-10-01,1432602.31214802,26805550.82,3174651.99,1649445.038141
2015-01-01,1436654.02384685,26781427.0,3417066.79,1573678.419389
2015-04-01,1453320.71868651,27096018.15,3410765.46,1696824.290029
2015-07-01,1458976.20933964,27383496.46,3360351.74,1613651.39936
2015-10-01,1464728.8432204,27440698.62,3529457.79,1692832.224658
2016-01-01,1471817.88048637,27594949.07,3691974.54,1616905.588006
2016-04-01,1479772.38640246,27885105.13,3693656.48,1744729.424519
2016-07-01,1489381.82707197,28226519.56,3778332.64,1644989.860393
2016-10-01,1505522.92551458,28286485.57,3860108.07,1733975.594588
2017-01-01,1519798.87929789,28515259.92,3996741.57,1662808.178139
2017-04-01,1532600.10330902,28886599.04,4048331.24,1795986.06118
2017-07-01,1540628.80273863,29330422.73,4082267.19,1690826.569397
2017-10-01,1553487.5775281,29500722.78,4115105.27,1788656.787313
2018-01-01,1567916.24207979,29809218.98,4177870.38,1711016.862201
2018-04-01,1579987.15780197,30248523.17,4228586.79,1859010.901798
2018-07-01,1588659.96350533,30781624.97,4255792.16,1744099.757541
2018-10-01,1601792.42768378,30969832.09,4114994.71,1852362.187348
2019-01-01,1607088.55577114,31207298.65,4288727.94,1766191.699346
2019-04-01,1621774.47707395,31702254.29,4320917.66,1928937.06726
2019-07-01,1633516.40813952,32231483.73,4403718.25,1810274.571691
2019-10-01,1640489.81965836,32509936.15,4474863.91,1891681.869164
2020-01-01,1563973.12411971,32800395.44,4386984.47,1795897.946631
2020-04-01,1374716.98497668,33205860.22,4547402.45,1883120.668742
2020-07-01,1561889.27672246,33589304.21,4559475.15,1823046.77961
2020-10-01,1522878.21204379,33929976.27,4775864.02,1909233.393336
2021-01-01,1516171.40630414,34264196.29,5047182.37,1833115.72696
2021-04-01,1584218.76305389,34985697.24,5171630.65,2016297.144461
2021-07-01,1659288.21125399,35892029.63,5182152.75,1898845.699504
2021-10-01,1689877.8871573,36397172.0,5422544.39,2010511.346078
2022-01-01,1736701.1222139,37368918.2,5268252.87,1942515.028269
2022-04-01,1789185.91639153,38448502.33,5181826.16,2145372.557303
2022-07-01,1836645.70879777,39235400.96,5200601.07,2054694.654786
2022-10-01,1866928.51328459,39145076.68,5485827.19,2180307.54752
2023-01-01,1901822.01984395,39130716.33,5791970.93,2129306.694671
2023-04-01,1926507.91419979,39351973.93,5845889.04,2334059.111164
2023-07-01,1944002.4752016,39691451.2,5730694.44,2192420.683833
2023-10-01,1957344.57360449,39546513.59,5903579.9,2302146.521779
2024-01-01,1981880.54427508,39569785.53,5999315.14,2252606.013644
2024-04-01,1991672.32444587,40084951.24,5884605.18,2438199.59408
2024-07-01,2009991.11635291,40659938.82,6028014.87,2289509.057019
2024-10-01,2026258.60423922,40865957.84,5983558.33,2400907.737478
